accession,entry_name,protein_names,gene_names
P28799,GRN_HUMAN,Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)],GRN
P28838,AMPL_HUMAN,Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase),LAP3 LAPEP PEPS
P29144,TPP2_HUMAN,Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II),TPP2
P29218,IMPA1_HUMAN,Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1),IMPA1 IMPA
P29350,PTN6_HUMAN,Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1),PTPN6 HCP PTP1C
P29375,KDM5A_HUMAN,Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A),KDM5A JARID1A RBBP2 RBP2
P29401,TKT_HUMAN,Transketolase (TK) (EC 2.2.1.1),TKT
P29466,CASP1_HUMAN,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10],CASP1 IL1BC IL1BCE
P29590,PML_HUMAN,Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19),PML MYL PP8675 RNF71 TRIM19
P29692,EF1D_HUMAN,Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4),EEF1D EF1D
P29728,OAS2_HUMAN,2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (p69 OAS / p71 OAS) (p69OAS / p71OAS),OAS2
P29966,MARCS_HUMAN,"Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)",MARCKS MACS PRKCSL
P30038,AL4A1_HUMAN,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)",ALDH4A1 ALDH4 P5CDH
P30040,ERP29_HUMAN,Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31),ERP29 C12orf8 ERP28
P30041,PRDX6_HUMAN,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12),PRDX6 AOP2 KIAA0106
P30043,BLVRB_HUMAN,Flavin reductase (NADPH) (FR) (EC 1.5.1.30) (Biliverdin reductase B) (BVR-B) (EC 1.3.1.24) (Biliverdin-IX beta-reductase) (Green heme-binding protein) (GHBP) (NADPH-dependent diaphorase) (NADPH-flavin reductase) (FLR),BLVRB FLR
P30044,PRDX5_HUMAN,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)",PRDX5 ACR1 SBBI10
P30046,DOPD_HUMAN,D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase) (Phenylpyruvate tautomerase II),DDT
P30048,PRDX3_HUMAN,"Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.24) (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog) (Thioredoxin-dependent peroxiredoxin 3)",PRDX3 AOP1
P30049,ATPD_HUMAN,"ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)",ATP5F1D ATP5D
P30050,RL12_HUMAN,60S ribosomal protein L12 (Large ribosomal subunit protein uL11),RPL12
P30084,ECHM_HUMAN,"Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)",ECHS1
P30085,KCY_HUMAN,UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK),CMPK1 CMK CMPK UCK UMK UMPK
P30086,PEBP1_HUMAN,Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)],PEBP1 PBP PEBP
P30101,PDIA3_HUMAN,Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60),PDIA3 ERP57 ERP60 GRP58
P30153,2AAA_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha),PPP2R1A
P30273,FCERG_HUMAN,High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma),FCER1G
P30405,PPIF_HUMAN,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)",PPIF CYP3
P30419,NMT1_HUMAN,Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (HsNMT1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1) (Protein-lysine myristoyltransferase NMT1) (EC 2.3.1.-),NMT1 NMT
P30519,HMOX2_HUMAN,Heme oxygenase 2 (HO-2) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 2 soluble form],HMOX2 HO2
P30520,PURA2_HUMAN,"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)",ADSS2 ADSS
P30533,AMRP_HUMAN,Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP),LRPAP1 A2MRAP
P30536,TSPO_HUMAN,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR),TSPO BZRP MBR
P30626,SORCN_HUMAN,Sorcin (22 kDa protein) (CP-22) (CP22) (V19),SRI
P30679,GNA15_HUMAN,Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16),GNA15 GNA16
P30740,ILEU_HUMAN,Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (EI) (M/NEI) (Peptidase inhibitor 2) (PI-2) (Serpin B1),SERPINB1 ELANH2 MNEI PI2
P30793,GCH1_HUMAN,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),GCH1 DYT5 GCH
P30837,AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)",ALDH1B1 ALDH5 ALDHX
P30876,RPB2_HUMAN,DNA-directed RNA polymerase II subunit RPB2 (EC 2.7.7.6) (DNA-directed RNA polymerase II 140 kDa polypeptide) (DNA-directed RNA polymerase II subunit B) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2),POLR2B
P31040,SDHA_HUMAN,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)",SDHA SDH2 SDHF
P31146,COR1A_HUMAN,Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO),CORO1A CORO1
P31150,GDIA_HUMAN,Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4),GDI1 GDIL OPHN2 RABGDIA XAP4
P31151,S10A7_HUMAN,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),S100A7 PSOR1 S100A7C
P31152,MK04_HUMAN,Mitogen-activated protein kinase 4 (MAP kinase 4) (MAPK 4) (EC 2.7.11.24) (Extracellular signal-regulated kinase 4) (ERK-4) (MAP kinase isoform p63) (p63-MAPK),MAPK4 ERK4 PRKM4
P31153,METK2_HUMAN,S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II),MAT2A AMS2 MATA2
P31323,KAP3_HUMAN,cAMP-dependent protein kinase type II-beta regulatory subunit,PRKAR2B
P31483,TIA1_HUMAN,Cytotoxic granule associated RNA binding protein TIA1 (Nucleolysin TIA-1 isoform p40) (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1),TIA1
P31689,DNJA1_HUMAN,DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2),DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4
P31930,QCR1_HUMAN,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1
P31937,3HIDH_HUMAN,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",HIBADH
P31939,PUR9_HUMAN,"Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Cleaved into: Bifunctional purine biosynthesis protein ATIC, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (IMP synthase) (Inosinicase)]",ATIC PURH OK/SW-cl.86
P31941,ABC3A_HUMAN,DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.38) (Phorbolin-1),APOBEC3A
P31942,HNRH3_HUMAN,Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9),HNRNPH3 HNRPH3
P31943,HNRH1_HUMAN,"Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]",HNRNPH1 HNRPH HNRPH1
P31946,1433B_HUMAN,"14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",YWHAB
P31947,1433S_HUMAN,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),SFN HME1
P31948,STIP1_HUMAN,Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521),STIP1
P31949,S10AB_HUMAN,"Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]",S100A11 MLN70 S100C
P32119,PRDX2_HUMAN,Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2),PRDX2 NKEFB TDPX1
P32121,ARRB2_HUMAN,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),ARRB2 ARB2 ARR2
P32246,CCR1_HUMAN,C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191),CCR1 CMKBR1 CMKR1 SCYAR1
P43250,GRK6_HUMAN,G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6),GRK6 GPRK6
P32320,CDD_HUMAN,Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase),CDA CDD
P32455,GBP1_HUMAN,Guanylate-binding protein 1 (EC 3.6.5.-) (GTP-binding protein 1) (GBP-1) (HuGBP-1) (Guanine nucleotide-binding protein 1) (Interferon-induced guanylate-binding protein 1),GBP1
P32780,TF2H1_HUMAN,General transcription factor IIH subunit 1 (Basic transcription factor 2 62 kDa subunit) (BTF2 p62) (General transcription factor IIH polypeptide 1) (TFIIH basal transcription factor complex p62 subunit),GTF2H1 BTF2
P32942,ICAM3_HUMAN,Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50),ICAM3
P32969,RL9_HUMAN,60S ribosomal protein L9 (Large ribosomal subunit protein uL6),RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9
P33121,ACSL1_HUMAN,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2) (Phytanate--CoA ligase) (EC 6.2.1.24),ACSL1 FACL1 FACL2 LACS LACS1 LACS2
P33176,KINH_HUMAN,Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC),KIF5B KNS KNS1
P33240,CSTF2_HUMAN,Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64),CSTF2
P33241,LSP1_HUMAN,Lymphocyte-specific protein 1 (47 kDa actin-binding protein) (52 kDa phosphoprotein) (pp52) (Lymphocyte-specific antigen WP34),LSP1 WP34
P33316,DUT_HUMAN,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)",DUT
P33527,MRP1_HUMAN,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),ABCC1 MRP MRP1
P33947,ERD22_HUMAN,ER lumen protein-retaining receptor 2 (ERD2-like protein 1) (ELP-1) (KDEL endoplasmic reticulum protein retention receptor 2) (KDEL receptor 2),KDELR2 ERD2.2
P33991,MCM4_HUMAN,DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21),MCM4 CDC21
P34059,GALNS_HUMAN,N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (GalN6S) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase),GALNS
P34896,GLYC_HUMAN,"Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)",SHMT1
P34897,GLYM_HUMAN,"Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)",SHMT2
P34932,HSP74_HUMAN,Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2),HSPA4 APG2
P35232,PHB1_HUMAN,Prohibitin 1,PHB1 PHB
P35237,SPB6_HUMAN,Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor),SERPINB6 PI6 PTI
P35241,RADI_HUMAN,Radixin,RDX
P35244,RFA3_HUMAN,Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3),RPA3 REPA3 RPA14
P35250,RFC2_HUMAN,Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40),RFC2
P35268,RL22_HUMAN,60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22),RPL22
P35354,PGH2_HUMAN,Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2),PTGS2 COX2
P35579,MYH9_HUMAN,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",MYH9
P35606,COPB2_HUMAN,Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102),COPB2
P35610,SOAT1_HUMAN,Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1),SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT
P35613,BASI_HUMAN,Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Hepatoma-associated antigen) (HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147),BSG UNQ6505/PRO21383
P35637,FUS_HUMAN,RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein),FUS TLS
P35658,NU214_HUMAN,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),NUP214 CAIN CAN KIAA0023
P35659,DEK_HUMAN,Protein DEK,DEK
P35749,MYH11_HUMAN,"Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)",MYH11 KIAA0866
P35754,GLRX1_HUMAN,Glutaredoxin-1 (Thioltransferase-1) (TTase-1),GLRX GRX
P35869,AHR_HUMAN,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),AHR BHLHE76
P35914,HMGCL_HUMAN,"Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)",HMGCL
P35998,PRS7_HUMAN,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2),PSMC2 MSS1
P36406,TRI23_HUMAN,E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23),TRIM23 ARD1 ARFD1 RNF46
P36542,ATPG_HUMAN,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",ATP5F1C ATP5C ATP5C1 ATP5CL1
P36543,VATE1_HUMAN,V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1),ATP6V1E1 ATP6E ATP6E2
P36575,ARRC_HUMAN,Arrestin-C (Cone arrestin) (C-arrestin) (cArr) (Retinal cone arrestin-3) (X-arrestin),ARR3 ARRX CAR
P36578,RL4_HUMAN,60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4),RPL4 RPL1
P36776,LONM_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1 PRSS15
P36871,PGM1_HUMAN,Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1),PGM1
P36915,GNL1_HUMAN,Guanine nucleotide-binding protein-like 1 (GTP-binding protein HSR1),GNL1 HSR1
P36957,ODO2_HUMAN,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)",DLST DLTS
P36969,GPX4_HUMAN,Phospholipid hydroperoxide glutathione peroxidase (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4),GPX4
P37108,SRP14_HUMAN,Signal recognition particle 14 kDa protein (SRP14) (18 kDa Alu RNA-binding protein),SRP14
P37198,NUP62_HUMAN,Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62),NUP62
P37235,HPCL1_HUMAN,Hippocalcin-like protein 1 (Calcium-binding protein BDR-1) (HLP2) (Visinin-like protein 3) (VILIP-3),HPCAL1 BDR1
P37802,TAGL2_HUMAN,Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog),TAGLN2 KIAA0120 CDABP0035
P37837,TALDO_HUMAN,Transaldolase (EC 2.2.1.2),TALDO1 TAL TALDO TALDOR
P38117,ETFB_HUMAN,Electron transfer flavoprotein subunit beta (Beta-ETF),ETFB FP585
P38159,RBMX_HUMAN,"RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]",RBMX HNRPG RBMXP1
P38432,COIL_HUMAN,Coilin (p80-coilin),COIL CLN80
P38571,LICH_HUMAN,Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase),LIPA
P38606,VATA_HUMAN,V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha),ATP6V1A ATP6A1 ATP6V1A1 VPP2
P38646,GRP75_HUMAN,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)",HSPA9 GRP75 HSPA9B mt-HSP70
P38919,IF4A3_HUMAN,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",EIF4A3 DDX48 KIAA0111
P39019,RS19_HUMAN,40S ribosomal protein S19 (Small ribosomal subunit protein eS19),RPS19
P39023,RL3_HUMAN,60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3),RPL3 OK/SW-cl.32
P39210,MPV17_HUMAN,Protein Mpv17,MPV17
P39656,OST48_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit),DDOST KIAA0115 OST48 OK/SW-cl.45
P39687,AN32A_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),ANP32A C15orf1 LANP MAPM PHAP1
